"Tabela 21 - Produto interno bruto a preços correntes, impostos, líquidos de subsídios, sobre produtos a preços correntes e valor adicionado bruto a preços correntes total e por atividade econômica, e respectivas participações - Referência 2002 (Série encerrada)"
"Variável - Produto Interno Bruto a preços correntes (Mil Reais)"
"Brasil e Município";"Ano"
"Brasil e Município";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012"
"Pimenteiras do Oeste (RO)";"15984";"16083";"18788";"30222";"33427";"37188";"40015";"46614";"59372";"68970";"89197";"134039";"181706"
"Primavera de Rondônia (RO)";"18572";"19263";"22916";"29094";"29485";"27950";"29372";"33838";"41071";"45557";"45663";"48844";"53754"
"São Felipe D'Oeste (RO)";"23182";"23941";"29018";"38494";"45413";"50471";"56294";"60844";"69879";"71727";"75102";"83267";"86771"
"São Francisco do Guaporé (RO)";"33546";"40687";"57506";"78149";"99054";"108300";"118517";"136621";"177032";"204615";"221545";"239984";"265728"
"Seringueiras (RO)";"34922";"35795";"49766";"76596";"83994";"88315";"90891";"102013";"120678";"130276";"146192";"162438";"167639"
"Teixeirópolis (RO)";"22299";"22207";"28655";"35346";"38660";"40824";"41215";"45664";"50935";"54474";"60478";"66868";"72217"
"Theobroma (RO)";"36489";"44366";"54956";"72916";"78159";"86923";"89950";"98025";"122573";"128049";"139710";"134191";"159078"
"Urupá (RO)";"44966";"44654";"59869";"75999";"85740";"96155";"93428";"101001";"112246";"119755";"131845";"146353";"151790"
"Vale do Anari (RO)";"21213";"23714";"31777";"47797";"59368";"71414";"69948";"83475";"97326";"114100";"113399";"124362";"179525"
"Vale do Paraíso (RO)";"34028";"35105";"44325";"67399";"68630";"73309";"73389";"86163";"99246";"89004";"97294";"104812";"108187"
"Acrelândia (AC)";"27484";"42684";"48737";"68507";"97262";"114493";"121402";"146110";"146133";"151161";"187606";"191116";"231526"
"Assis Brasil (AC)";"10902";"12085";"14590";"17492";"23308";"30328";"33337";"40441";"54412";"48369";"54682";"60786";"67700"
"Brasiléia (AC)";"73824";"68665";"87575";"101626";"107058";"117728";"129056";"155458";"174844";"195057";"228403";"245534";"267230"
"Bujari (AC)";"24368";"31651";"31989";"47936";"52856";"78688";"74859";"103857";"106144";"88729";"138141";"166501";"182067"
"Capixaba (AC)";"20074";"36772";"27798";"37903";"66007";"78364";"76346";"96986";"82582";"89082";"136884";"154444";"200731"
"Cruzeiro do Sul (AC)";"198256";"223051";"261073";"292890";"345818";"393292";"427940";"489697";"593955";"684494";"835092";"832605";"859430"
"Epitaciolândia (AC)";"45544";"65684";"57102";"65605";"83729";"88597";"93747";"110241";"128040";"129696";"150050";"162744";"176783"
"Feijó (AC)";"66255";"71555";"82574";"96757";"121490";"145150";"145585";"164153";"200903";"239379";"264643";"273347";"278817"
"Jordão (AC)";"12917";"12952";"14265";"17845";"20116";"23838";"30126";"39420";"53402";"41692";"48394";"52948";"62715"
"Mâncio Lima (AC)";"24277";"30296";"34005";"41439";"44797";"49794";"54628";"70249";"88277";"103334";"123730";"140650";"149252"
"Manoel Urbano (AC)";"15894";"25568";"22484";"28392";"29742";"31316";"35555";"43620";"60235";"61497";"67565";"72622";"82728"
"Marechal Thaumaturgo (AC)";"17387";"21732";"24700";"28162";"34292";"37700";"49180";"67806";"80375";"109224";"113502";"112352";"133640"
"Plácido de Castro (AC)";"56966";"60311";"67111";"79171";"105229";"139910";"114376";"149337";"179804";"204473";"200283";"237056";"278117"
"Porto Walter (AC)";"12369";"15279";"16913";"19859";"22874";"25962";"32316";"41386";"51112";"64458";"86872";"76289";"82442"
"Rio Branco (AC)";"1180524";"1313381";"1561793";"1740716";"2127862";"2369239";"2601183";"3040676";"3547942";"3836559";"4309607";"4491134";"4946632"
"Rodrigues Alves (AC)";"22498";"26734";"29476";"35748";"43658";"51524";"61313";"75098";"87289";"153208";"234801";"174166";"133626"
"Santa Rosa do Purus (AC)";"5781";"6643";"7966";"10746";"12427";"15350";"17568";"22747";"27814";"28106";"35765";"36242";"37980"
"Senador Guiomard (AC)";"64496";"83301";"89483";"103898";"124036";"137315";"171324";"216490";"209480";"216977";"247921";"266689";"303679"
"Sena Madureira (AC)";"112580";"149075";"192048";"229010";"198430";"234644";"215528";"255686";"346590";"371659";"393670";"358193";"427464"
"Tarauacá (AC)";"75491";"79334";"90497";"103136";"125328";"164424";"162089";"198074";"237843";"258591";"291196";"324159";"333365"
"Xapuri (AC)";"42904";"52436";"50885";"70705";"78715";"82483";"91952";"110504";"130035";"150313";"176927";"200871";"196372"
"Porto Acre (AC)";"43494";"45980";"55388";"67229";"75286";"72783";"95212";"122463";"142897";"160378";"150780";"163912";"196942"
"Alvarães (AM)";"32307";"31217";"58596";"56520";"54113";"43395";"51451";"52839";"49203";"53534";"63997";"79146";"81845"
"Amaturá (AM)";"10657";"11437";"16705";"18262";"20336";"22005";"27827";"30288";"31731";"34528";"43639";"50321";"53695"
"Anamã (AM)";"11000";"11081";"15819";"16979";"21216";"18159";"25196";"29636";"46734";"41757";"51519";"56851";"54024"
"Anori (AM)";"15531";"16917";"21983";"24295";"27332";"29947";"41929";"45854";"68852";"74492";"74748";"89826";"89151"
"Apuí (AM)";"24249";"27067";"41405";"61086";"70303";"99679";"135787";"83354";"149620";"147022";"161680";"160318";"169795"
"Atalaia do Norte (AM)";"17534";"18841";"20346";"23070";"25523";"27921";"39235";"44475";"50334";"54641";"66960";"74360";"78385"
"Autazes (AM)";"43058";"58465";"82621";"89230";"76878";"102429";"129500";"135724";"111529";"136301";"201729";"210867";"206079"
"Barcelos (AM)";"35110";"35422";"65805";"56193";"60398";"66453";"67143";"64886";"76680";"77728";"102778";"111882";"114164"
"Barreirinha (AM)";"33387";"34921";"50898";"53838";"59800";"65510";"83280";"98016";"92479";"101314";"122388";"129457";"140539"
"Benjamin Constant (AM)";"37588";"40404";"67707";"73412";"78148";"77286";"102221";"109839";"107566";"116825";"146990";"176244";"166435"
"Beruri (AM)";"17892";"18365";"26200";"28655";"33715";"33853";"42711";"46958";"50868";"78565";"91696";"96963";"88255"
"Boa Vista do Ramos (AM)";"16221";"15652";"23752";"23826";"26002";"35868";"44203";"48297";"47702";"53789";"62329";"76905";"81332"
"Boca do Acre (AM)";"47938";"57025";"92563";"110233";"105759";"147568";"168350";"166068";"155600";"149812";"177661";"196045";"204650"
"Borba (AM)";"38443";"49237";"55821";"63737";"69404";"77220";"98306";"101098";"107849";"120070";"174031";"196567";"198805"
"Caapiranga (AM)";"12747";"13413";"18538";"19938";"22415";"31106";"39169";"45329";"42555";"45998";"61309";"66923";"66414"
"Canutama (AM)";"17359";"18682";"26974";"27020";"29380";"27714";"41938";"57488";"45875";"49905";"62069";"68161";"71727"
"Carauari (AM)";"38145";"43222";"61216";"57530";"60772";"71173";"88524";"93076";"116295";"121003";"124510";"152260";"133114"
"Careiro (AM)";"40745";"58442";"102813";"105944";"86169";"84055";"106793";"124156";"109223";"117780";"164986";"173760";"176011"
