"Tabela 21 - Produto interno bruto a preços correntes, impostos, líquidos de subsídios, sobre produtos a preços correntes e valor adicionado bruto a preços correntes total e por atividade econômica, e respectivas participações - Referência 2002 (Série encerrada)"
"Variável - Produto Interno Bruto a preços correntes (Mil Reais)"
"Brasil e Município";"Ano"
"Brasil e Município";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012"
"São José de Princesa (PB)";"8018";"11648";"11221";"12390";"10340";"10996";"14993";"12989";"17352";"17828";"18111";"19425";"18618"
"São José do Bonfim (PB)";"4154";"4956";"5329";"5888";"6485";"7239";"8451";"9753";"11002";"12406";"14165";"15964";"16871"
"São José do Brejo do Cruz (PB)";"2910";"3451";"3872";"4861";"5217";"5841";"6624";"7292";"8428";"8961";"9941";"11638";"12193"
"São José do Sabugi (PB)";"5332";"6336";"7975";"8164";"8866";"10026";"11716";"13143";"16148";"18302";"20540";"22105";"23067"
"São José dos Cordeiros (PB)";"6665";"5926";"7099";"7508";"8147";"9529";"11125";"12300";"14252";"15267";"16966";"18437";"18504"
"São Mamede (PB)";"11485";"13054";"14443";"16159";"17526";"19727";"23570";"26398";"30326";"34909";"38567";"40844";"43408"
"São Miguel de Taipu (PB)";"10796";"16321";"14184";"12566";"14261";"14621";"18419";"19184";"22119";"25034";"27760";"29956";"31544"
"São Sebastião de Lagoa de Roça (PB)";"15022";"17478";"18893";"21672";"22541";"25258";"30113";"31790";"37068";"41512";"46878";"51222";"53234"
"São Sebastião do Umbuzeiro (PB)";"5241";"5168";"6623";"7046";"7897";"8895";"9989";"10683";"13277";"15205";"15790";"16852";"17459"
"Sapé (PB)";"89987";"81146";"94199";"113137";"122547";"133131";"165394";"179844";"214613";"243206";"262275";"317133";"391946"
"São Vicente do Seridó (PB)";"12208";"31740";"26029";"14528";"15629";"17805";"21983";"23756";"28289";"32633";"38547";"41709";"43517"
"Serra Branca (PB)";"21417";"23778";"27912";"32499";"33239";"38318";"43636";"45698";"56641";"62188";"67078";"72771";"76019"
"Serra da Raiz (PB)";"5613";"6626";"6377";"6996";"8059";"8877";"10086";"10967";"13353";"13874";"15424";"17545";"18394"
"Serra Grande (PB)";"3871";"4355";"5389";"6434";"6722";"7163";"8981";"9219";"11833";"12522";"13330";"14439";"15355"
"Serra Redonda (PB)";"12879";"13859";"14881";"18717";"20634";"22312";"27139";"27117";"32222";"34705";"36490";"38497";"40228"
"Serraria (PB)";"11428";"15294";"14923";"17679";"19162";"21427";"19640";"26059";"27398";"28795";"34494";"34405";"38376"
"Sertãozinho (PB)";"6177";"8566";"8958";"12022";"11500";"13369";"15149";"16050";"20124";"23771";"25487";"28693";"31632"
"Sobrado (PB)";"14538";"13560";"17941";"19432";"21278";"21009";"24174";"27460";"30908";"33388";"34336";"38646";"39985"
"Solânea (PB)";"40910";"48803";"53489";"60888";"67051";"72285";"84804";"90479";"101057";"108670";"119098";"135792";"148997"
"Soledade (PB)";"21661";"28824";"30156";"28330";"31323";"34346";"40546";"46897";"52456";"64918";"75367";"86178";"91970"
"Sossêgo (PB)";"5718";"5386";"5602";"6514";"6715";"7567";"9289";"10568";"11588";"12822";"15186";"16516";"17951"
"Sousa (PB)";"144734";"152921";"174873";"195144";"227623";"232783";"285489";"333016";"466983";"527810";"585175";"629711";"676600"
"Sumé (PB)";"29819";"31434";"30116";"33347";"37155";"42574";"50666";"58795";"66258";"71980";"78899";"88002";"95745"
"Tacima (PB)";"10691";"13065";"15029";"16485";"18388";"20848";"23574";"28485";"32225";"34869";"41204";"46203";"48563"
"Taperoá (PB)";"19211";"22218";"24255";"26035";"29474";"32952";"37168";"43563";"50232";"60063";"65428";"72770";"74282"
"Tavares (PB)";"18063";"18291";"23515";"27788";"28087";"29126";"43420";"40680";"48662";"54818";"60464";"65721";"65799"
"Teixeira (PB)";"16375";"18891";"23361";"25483";"28187";"31813";"37448";"45549";"51556";"57651";"65224";"72253";"75174"
"Tenório (PB)";"3724";"4601";"4985";"5130";"5571";"6510";"8485";"9718";"11051";"12564";"13915";"16154";"15962"
"Triunfo (PB)";"10886";"13099";"14792";"16279";"18205";"19907";"24161";"25753";"30192";"34426";"38478";"42473";"43900"
"Uiraúna (PB)";"21409";"23896";"28972";"30772";"34027";"37017";"43106";"49682";"57901";"65199";"75007";"83134";"90565"
"Umbuzeiro (PB)";"15536";"16536";"17690";"20648";"22531";"24190";"27186";"30620";"35872";"39106";"42450";"46714";"48056"
"Várzea (PB)";"4062";"4973";"5193";"5424";"6138";"6515";"7545";"9580";"11168";"13334";"14947";"16732";"17677"
"Vieirópolis (PB)";"6611";"5835";"7110";"8009";"7917";"9268";"11271";"12723";"15118";"16770";"19733";"22019";"23280"
"Zabelê (PB)";"3438";"4551";"4269";"5219";"5496";"6376";"7394";"7466";"9180";"9611";"10374";"11622";"12136"
"Abreu e Lima (PE)";"264427";"285823";"326758";"393794";"483346";"500953";"544180";"564335";"677830";"734909";"854492";"912180";"1025853"
"Afogados da Ingazeira (PE)";"60675";"70483";"86871";"93999";"98905";"111827";"126938";"139940";"159069";"181247";"198293";"221703";"257336"
"Afrânio (PE)";"20631";"22147";"25323";"29022";"32496";"38520";"44385";"50589";"57467";"66155";"80708";"89122";"100779"
"Agrestina (PE)";"34302";"42549";"46918";"54807";"58428";"65962";"74609";"82492";"94877";"108811";"125792";"136447";"148342"
"Água Preta (PE)";"48004";"58394";"57055";"63497";"72001";"80857";"89572";"94098";"105539";"127970";"144064";"175450";"176301"
"Águas Belas (PE)";"51058";"58813";"73778";"75394";"83167";"91994";"109591";"116325";"133883";"152854";"178574";"198426";"219294"
"Alagoinha (PE)";"15964";"18447";"21596";"24729";"27873";"31993";"35644";"43273";"51223";"58943";"63489";"70424";"77394"
"Aliança (PE)";"56003";"64878";"76401";"83628";"92897";"104030";"124479";"124708";"138747";"161991";"187875";"194040";"200054"
"Altinho (PE)";"30140";"34734";"38774";"43180";"46640";"52926";"58660";"62813";"70962";"81559";"93581";"104056";"115397"
"Amaraji (PE)";"39981";"44035";"48419";"52849";"56629";"62003";"72070";"71322";"78901";"91986";"113219";"123181";"127522"
"Angelim (PE)";"12769";"15509";"16982";"20766";"21014";"24858";"28213";"31479";"34538";"41366";"42128";"49609";"57279"
"Araçoiaba (PE)";"17804";"20724";"24724";"28906";"34773";"39802";"47858";"48956";"51122";"55225";"64460";"74533";"81130"
"Araripina (PE)";"132549";"143516";"154798";"171545";"184146";"197405";"235285";"254399";"313611";"348441";"415662";"442291";"495119"
"Arcoverde (PE)";"129486";"149231";"164360";"176419";"197942";"229071";"259912";"290800";"327535";"361488";"417812";"488245";"580253"
"Barra de Guabiraba (PE)";"15811";"17913";"20160";"23646";"25059";"28614";"33407";"37899";"42414";"47297";"51514";"62202";"67088"
"Barreiros (PE)";"63683";"69941";"79824";"84122";"93108";"110319";"125433";"135808";"149782";"175862";"201581";"240823";"259908"
"Belém de Maria (PE)";"15653";"17655";"20403";"22006";"24534";"27098";"28207";"30271";"33191";"38052";"46199";"51566";"54617"
"Belém do São Francisco (PE)";"35570";"49982";"50005";"49043";"58451";"63658";"65903";"78251";"102064";"99328";"104730";"112454";"132064"
"Belo Jardim (PE)";"190222";"209589";"219571";"264284";"296507";"349073";"397893";"501013";"632041";"677105";"789567";"867467";"974696"
"Betânia (PE)";"14942";"16520";"18596";"21002";"21253";"26377";"31396";"33036";"37879";"42944";"48697";"54728";"55188"
"Bezerros (PE)";"108157";"132142";"155224";"166210";"164322";"180159";"213688";"232163";"265810";"286518";"338436";"394608";"436990"
"Bodocó (PE)";"40134";"44544";"51682";"58967";"66978";"75321";"86468";"95008";"129054";"136356";"167707";"173445";"180672"
"Bom Conselho (PE)";"63314";"72182";"82318";"91730";"101653";"114965";"139865";"152469";"175263";"231668";"251503";"294377";"322775"
"Bom Jardim (PE)";"51867";"59161";"75551";"73033";"79133";"90033";"108190";"117725";"134887";"157452";"188042";"189856";"205548"
"Bonito (PE)";"66623";"79744";"89084";"102554";"107666";"120369";"139966";"140134";"156630";"184791";"203643";"223399";"239712"
"Brejão (PE)";"13801";"15225";"17963";"24885";"27066";"31971";"38313";"43580";"47905";"51036";"55462";"58279";"65654"
"Brejinho (PE)";"8952";"9683";"11910";"13939";"13659";"15731";"18426";"21837";"24671";"26806";"30307";"34836";"38660"
"Brejo da Madre de Deus (PE)";"52773";"61889";"72968";"79264";"87908";"102331";"115735";"125274";"142127";"163271";"193721";"214425";"239457"
"Buenos Aires (PE)";"19811";"22532";"24515";"27462";"28381";"31527";"38201";"40132";"45343";"51707";"60224";"61649";"65362"
"Buíque (PE)";"55184";"64542";"74517";"85097";"98378";"123095";"153058";"176852";"206479";"252828";"273013";"292916";"347548"
"Cabo de Santo Agostinho (PE)";"1237679";"1524602";"1784158";"2447331";"2695467";"2772504";"2828678";"2911008";"3370386";"3598053";"4520568";"5254019";"6006252"
"Cabrobó (PE)";"50645";"68664";"74080";"81174";"101890";"109809";"103145";"121687";"149226";"191475";"187505";"217148";"255987"
"Cachoeirinha (PE)";"25138";"32445";"39415";"43744";"47714";"53966";"60502";"66983";"76585";"81106";"96604";"103763";"114040"
"Caetés (PE)";"26069";"31727";"36210";"41773";"45630";"50980";"59160";"69880";"71619";"94518";"105627";"115694";"142747"
"Calçado (PE)";"17574";"22901";"23211";"28447";"31452";"32964";"37116";"40270";"43157";"54447";"56051";"60887";"64983"
"Calumbi (PE)";"10527";"9994";"11009";"11900";"13153";"15319";"17624";"19218";"20414";"23772";"24701";"27232";"32113"
"Camaragibe (PE)";"241227";"255801";"321108";"335910";"361763";"422464";"459243";"491971";"552972";"624063";"759023";"838160";"931590"
"Camocim de São Félix (PE)";"27018";"34492";"36942";"37465";"38034";"47117";"49644";"56161";"60605";"72977";"91915";"88939";"102103"
"Camutanga (PE)";"37622";"47170";"61590";"66887";"63934";"72944";"89546";"76729";"96409";"125340";"150007";"172056";"189935"
"Canhotinho (PE)";"35802";"38922";"44460";"49761";"53121";"60719";"66318";"76496";"84938";"93383";"106353";"117874";"127865"
"Capoeiras (PE)";"25244";"29239";"35399";"38615";"44679";"49130";"56861";"64964";"70612";"83169";"92770";"104090";"113394"
"Carnaíba (PE)";"23088";"24673";"32690";"34749";"35392";"41471";"47590";"51801";"56744";"66280";"73488";"84373";"94134"
"Carnaubeira da Penha (PE)";"12144";"14221";"15495";"17008";"21774";"23254";"27910";"30604";"38126";"44745";"48265";"53292";"54473"
"Carpina (PE)";"195687";"213983";"228213";"241173";"272302";"309688";"311543";"350576";"383818";"437559";"582380";"662945";"760686"
"Caruaru (PE)";"783508";"871947";"998721";"1109864";"1303405";"1514123";"1763106";"1985473";"2179743";"2428599";"3026554";"3404463";"3872947"
"Casinhas (PE)";"16299";"18310";"21060";"23084";"25916";"29995";"32529";"37497";"45735";"51831";"67562";"69877";"68741"
"Catende (PE)";"70340";"95608";"85013";"77626";"80933";"95902";"112976";"116497";"127534";"146434";"197684";"207593";"193782"
"Cedro (PE)";"12472";"14423";"16045";"18891";"22560";"24233";"27741";"31020";"37830";"44357";"46181";"58658";"59148"
"Chã de Alegria (PE)";"27051";"25790";"22898";"23459";"24752";"26680";"31305";"34489";"38235";"43440";"57096";"60621";"63865"
"Chã Grande (PE)";"29358";"33064";"36960";"43019";"49865";"58305";"64307";"72449";"81479";"94488";"109621";"119273";"126392"
"Condado (PE)";"31603";"38162";"42882";"44294";"49404";"56720";"67233";"71564";"81970";"100647";"118466";"125237";"136117"
"Correntes (PE)";"25035";"30359";"34159";"39412";"41451";"46801";"52464";"58738";"65390";"70200";"80387";"88284";"94485"
"Cortês (PE)";"29633";"37354";"42102";"45668";"49158";"62868";"64563";"63478";"65467";"83033";"111337";"128391";"100438"
"Cumaru (PE)";"30710";"35119";"39434";"42984";"49483";"58401";"53823";"52725";"62857";"68108";"94506";"99982";"102560"
"Cupira (PE)";"34444";"37653";"42655";"48779";"52657";"59188";"67456";"72147";"79320";"93631";"115144";"127550";"142846"
"Custódia (PE)";"46582";"51546";"61633";"68949";"75902";"89065";"100794";"115535";"134887";"162517";"208036";"224447";"252502"
"Dormentes (PE)";"19215";"22639";"25512";"30820";"34614";"39548";"44575";"51370";"63228";"72882";"95846";"116071";"135140"
"Escada (PE)";"141192";"146904";"159658";"180127";"193813";"201425";"222507";"232956";"285345";"389807";"475980";"450196";"528750"
"Exu (PE)";"43722";"47804";"55319";"64170";"66299";"76453";"92222";"98131";"110769";"124502";"155316";"168116";"170553"
"Feira Nova (PE)";"23741";"27967";"31246";"33990";"36983";"43901";"49434";"53213";"59345";"71577";"86362";"95235";"113290"
"Fernando de Noronha (PE)";"11025";"13954";"16919";"17890";"21664";"22978";"22286";"21528";"23139";"27960";"33682";"38585";"43861"
"Ferreiros (PE)";"20370";"21724";"26728";"29917";"29794";"33216";"37722";"43250";"48613";"55436";"66797";"71472";"71345"
"Flores (PE)";"24508";"26584";"32136";"37546";"38417";"47720";"57555";"59076";"70172";"79760";"89121";"100714";"103305"
"Floresta (PE)";"63272";"74986";"85979";"103284";"116106";"120576";"134698";"151422";"174168";"209985";"288654";"305192";"339134"
"Frei Miguelinho (PE)";"16577";"19162";"21060";"23993";"29627";"31100";"34674";"38833";"46450";"53005";"60285";"66481";"72405"
"Gameleira (PE)";"33820";"36887";"40895";"45433";"55210";"67696";"72468";"77231";"86542";"103286";"115950";"128785";"131490"
"Garanhuns (PE)";"329057";"382580";"419407";"463523";"493184";"565057";"636174";"738779";"828361";"938702";"1121414";"1201201";"1389009"
"Glória do Goitá (PE)";"37061";"43074";"46486";"53184";"56262";"65137";"71299";"78410";"88283";"101374";"119101";"127245";"148327"
"Goiana (PE)";"251683";"311887";"355840";"350184";"375035";"398791";"442715";"456373";"560649";"611275";"738736";"792117";"872238"
"Granito (PE)";"9064";"8576";"10549";"11457";"12357";"14264";"17563";"19652";"27878";"31485";"39744";"38456";"39301"
"Gravatá (PE)";"123936";"144519";"170076";"194394";"210421";"239947";"276069";"305685";"343613";"383931";"474821";"565163";"625893"
"Iati (PE)";"21792";"26244";"27137";"31331";"36283";"39008";"42119";"50839";"62481";"71203";"76766";"85037";"94005"
"Ibimirim (PE)";"28999";"35922";"39397";"50238";"52025";"68100";"78021";"96998";"110342";"123758";"138762";"143816";"156770"
"Ibirajuba (PE)";"11005";"12324";"15252";"17094";"20363";"23676";"27721";"28718";"33114";"38684";"40672";"42730";"43310"
"Igarassu (PE)";"329075";"395014";"449212";"551316";"568098";"596573";"663866";"728724";"960057";"1072346";"1195424";"1322093";"1470899"
"Iguaracy (PE)";"16146";"17129";"20138";"22618";"25548";"29596";"34312";"35088";"41802";"46001";"48656";"54123";"57925"
"Inajá (PE)";"16606";"18754";"22640";"26440";"32325";"41536";"47859";"52468";"57318";"67366";"90861";"99574";"131372"
"Ingazeira (PE)";"8760";"8101";"10895";"12202";"12255";"14793";"17205";"17417";"18938";"21618";"21814";"25394";"27090"
"Ipojuca (PE)";"1380166";"1545156";"1990966";"2309136";"2986572";"3991586";"4331219";"5345987";"6092472";"6884363";"9203983";"9617184";"11595851"
"Ipubi (PE)";"43342";"47092";"50496";"48186";"55501";"57871";"70812";"80100";"94727";"110521";"139731";"148849";"172343"
"Itacuruba (PE)";"8989";"13806";"13721";"13789";"15888";"15815";"15950";"19260";"20881";"23484";"27632";"33719";"35997"
"Itaíba (PE)";"40746";"41968";"46523";"57919";"64835";"76171";"91684";"111529";"137195";"153140";"171409";"183073";"169402"
"Ilha de Itamaracá (PE)";"39872";"44580";"52635";"58563";"58170";"66220";"74811";"76240";"81642";"96313";"121680";"138307";"144613"
"Itambé (PE)";"59157";"67000";"81607";"93808";"96268";"106307";"133088";"134154";"157887";"176342";"202361";"220408";"229691"
"Itapetim (PE)";"19635";"20779";"25214";"27958";"29536";"32626";"38271";"40906";"42252";"50330";"59365";"66352";"66333"
"Itapissuma (PE)";"215087";"269137";"318781";"388006";"356830";"362542";"405356";"420024";"494939";"486338";"484437";"506442";"739543"
"Itaquitinga (PE)";"25562";"28659";"33585";"37620";"37755";"40742";"50888";"51964";"59005";"72441";"94895";"118256";"125024"
"Jaboatão dos Guararapes (PE)";"2167343";"2427625";"2817890";"3334133";"3847826";"4221245";"4738152";"5588106";"6403714";"7286182";"7690587";"8493120";"9480125"
"Jaqueira (PE)";"27364";"37863";"22940";"23219";"27339";"29128";"34646";"37953";"43091";"47623";"53505";"57534";"57764"
"Jataúba (PE)";"19998";"24040";"26399";"28459";"32566";"36839";"42023";"45965";"52534";"59932";"72563";"81044";"89331"
"Jatobá (PE)";"16033";"19046";"23390";"26250";"28708";"32586";"35511";"37460";"45817";"55788";"63777";"69452";"80060"
"João Alfredo (PE)";"37466";"43157";"48925";"53527";"59730";"68983";"81218";"89482";"102427";"121591";"138947";"154412";"174901"
"Joaquim Nabuco (PE)";"49735";"52292";"60187";"59761";"62766";"65665";"66693";"64719";"77386";"95173";"106205";"109795";"141303"
"Jucati (PE)";"12078";"15441";"18320";"21565";"24089";"26385";"30568";"37730";"42706";"52029";"51872";"57499";"67222"
"Jupi (PE)";"18544";"22781";"26594";"32241";"34588";"37477";"43119";"49137";"54560";"70737";"72325";"80809";"85314"
"Jurema (PE)";"18834";"22678";"29372";"29232";"33444";"39158";"45556";"47867";"56403";"61258";"64305";"86255";"74527"
"Lagoa do Carro (PE)";"18820";"22111";"27414";"33086";"33147";"40719";"43926";"48444";"50692";"60598";"71130";"78616";"84951"
"Lagoa de Itaenga (PE)";"49979";"66102";"71523";"108588";"118299";"139607";"114681";"117466";"142504";"200368";"214837";"198974";"213423"
"Lagoa do Ouro (PE)";"14439";"17420";"19854";"22768";"25626";"28464";"33765";"39394";"42849";"49031";"54523";"61047";"66307"
"Lagoa dos Gatos (PE)";"21181";"24372";"27231";"29245";"32417";"37495";"42109";"45710";"49753";"55451";"65681";"71608";"77763"
"Lagoa Grande (PE)";"50464";"58854";"75257";"88064";"96165";"114966";"133996";"163374";"179247";"201782";"251842";"238450";"244028"
"Lajedo (PE)";"53995";"61235";"71277";"80243";"95989";"107560";"123523";"139573";"143032";"169061";"199801";"222157";"247853"
"Limoeiro (PE)";"112031";"127987";"143608";"152721";"164005";"182845";"201538";"219858";"241613";"270837";"325911";"360628";"403267"
"Macaparana (PE)";"37833";"44638";"46334";"52352";"56870";"64064";"72877";"74473";"83313";"97374";"118991";"127673";"149770"
"Machados (PE)";"16635";"37430";"26078";"20474";"23050";"26996";"36922";"39720";"42161";"46953";"67918";"69675";"84432"
"Manari (PE)";"12516";"14844";"16446";"18053";"22460";"26424";"35210";"41951";"50972";"61463";"68994";"78990";"82115"
"Maraial (PE)";"29907";"28575";"30211";"34224";"41417";"49420";"50773";"56284";"70775";"81413";"91984";"83542";"59586"
"Mirandiba (PE)";"16736";"19631";"20034";"23677";"26515";"33601";"41513";"43239";"47442";"59396";"64153";"73385";"81200"
"Moreno (PE)";"89083";"92655";"114429";"139334";"148344";"169815";"196544";"206259";"233994";"275941";"306600";"349496";"386321"
"Nazaré da Mata (PE)";"77726";"86022";"101599";"114075";"114905";"126380";"145111";"148019";"166731";"199525";"233378";"254060";"288055"
"Olinda (PE)";"1024205";"1082319";"1278046";"1360719";"1563115";"1886467";"2007752";"2159841";"2374137";"2604917";"3153087";"3405765";"3687724"
"Orobó (PE)";"32427";"43955";"43788";"47914";"51192";"61201";"69921";"71913";"81005";"92366";"102405";"111683";"123574"
"Orocó (PE)";"23864";"29793";"28516";"46474";"43362";"51306";"50565";"60247";"88058";"102746";"117739";"94055";"106872"
"Ouricuri (PE)";"93878";"98523";"115200";"116299";"130239";"153548";"179558";"201332";"231556";"268197";"310069";"342049";"369987"
"Palmares (PE)";"117125";"132139";"152662";"161248";"194337";"220610";"262207";"304734";"344642";"405763";"470979";"500784";"533529"
"Palmeirina (PE)";"13711";"15973";"17660";"21264";"22310";"24894";"27480";"30218";"33819";"33629";"41457";"43419";"46040"
"Panelas (PE)";"31692";"36261";"39464";"45153";"48514";"55007";"62320";"68302";"80349";"89793";"100749";"113434";"127826"
"Paranatama (PE)";"15255";"14780";"17005";"20051";"21350";"23929";"28464";"37223";"43396";"52427";"51570";"60534";"68835"
"Parnamirim (PE)";"30318";"33502";"38408";"39083";"42300";"53467";"57951";"67285";"74550";"90382";"103740";"117995";"131817"
"Passira (PE)";"36174";"43721";"46057";"50318";"56073";"63567";"74810";"80531";"92980";"106781";"128362";"137644";"140821"
"Paudalho (PE)";"79090";"90558";"105713";"116185";"114765";"142789";"156539";"176422";"194802";"224922";"265388";"300156";"340912"
"Paulista (PE)";"697173";"766320";"838611";"887112";"995790";"1081933";"1223472";"1364632";"1613792";"1821544";"2211206";"2477669";"2805476"
"Pedra (PE)";"29784";"33064";"42648";"52427";"58303";"70296";"82437";"94959";"112947";"120960";"136407";"143103";"143520"
"Pesqueira (PE)";"109516";"122661";"133380";"138149";"155319";"183343";"212783";"237497";"270464";"295994";"346943";"382362";"439566"
"Petrolândia (PE)";"287209";"374013";"354244";"426136";"513177";"450321";"435669";"510093";"603523";"501323";"655008";"714764";"816787"
"Petrolina (PE)";"725486";"798114";"1038248";"1420288";"1530758";"1670473";"1772665";"1925413";"2362785";"2324726";"3188898";"3315057";"3786065"
"Poção (PE)";"16006";"17441";"19576";"21857";"25423";"30995";"33366";"37049";"41083";"42417";"49398";"55636";"59353"
"Pombos (PE)";"39846";"47946";"48130";"54498";"59116";"70517";"77169";"82554";"91015";"109688";"143911";"158451";"181664"
"Primavera (PE)";"25736";"30772";"43230";"53292";"46989";"54368";"66661";"61101";"60374";"48899";"118650";"120477";"118423"
"Quipapá (PE)";"30932";"33310";"40124";"43130";"44229";"50811";"56635";"62132";"74142";"99369";"130668";"121462";"127096"
"Quixaba (PE)";"9653";"10006";"13657";"14022";"14302";"16374";"19690";"20723";"23338";"27095";"28312";"32383";"35311"
"Recife (PE)";"9811668";"10642915";"12602473";"13104684";"14425017";"16324073";"18316659";"20689607";"22470886";"24720436";"30176875";"33138833";"36821898"
"Riacho das Almas (PE)";"25430";"29632";"32305";"36473";"40383";"47475";"56663";"61906";"70901";"91226";"101399";"109921";"121940"
"Ribeirão (PE)";"74220";"86211";"93294";"106977";"113718";"129933";"143866";"144658";"182539";"219329";"256764";"265329";"281938"
"Rio Formoso (PE)";"65370";"74606";"84654";"84425";"99481";"122841";"148015";"127526";"133359";"155488";"156494";"175945";"204771"
"Sairé (PE)";"18328";"21699";"26679";"30527";"34980";"42390";"43733";"48283";"56105";"61963";"85390";"81348";"82865"
"Salgadinho (PE)";"9469";"10229";"11491";"12632";"13579";"15947";"17836";"20087";"22922";"26391";"53841";"38324";"41204"
"Salgueiro (PE)";"108330";"117955";"139124";"144096";"152680";"186085";"204498";"235621";"275114";"317388";"445562";"560606";"626379"
"Saloá (PE)";"19648";"22135";"23958";"27546";"31092";"35818";"41215";"47242";"56656";"62806";"70528";"77366";"85886"
"Sanharó (PE)";"30011";"31299";"35148";"39107";"42415";"50271";"55808";"64863";"71515";"83536";"104645";"114557";"126444"
"Santa Cruz (PE)";"16013";"15978";"19065";"20208";"22110";"26493";"32341";"34928";"47559";"54185";"58341";"69126";"69404"
"Santa Cruz da Baixa Verde (PE)";"12770";"14350";"15929";"17771";"19051";"22083";"26584";"28610";"34115";"36944";"42207";"47370";"53213"
"Santa Cruz do Capibaribe (PE)";"120448";"146301";"168671";"179757";"206785";"239435";"290396";"330493";"383294";"400885";"581739";"681544";"766084"
"Santa Filomena (PE)";"14409";"15437";"19090";"20231";"22436";"27106";"31210";"31997";"40151";"45567";"53281";"56783";"61472"
"Santa Maria da Boa Vista (PE)";"70307";"84926";"105694";"128080";"154448";"180666";"203426";"209114";"280784";"237751";"275132";"263879";"304324"
"Santa Maria do Cambucá (PE)";"15097";"17072";"19444";"21782";"22600";"27551";"32861";"37204";"42345";"48626";"72776";"76069";"71135"
"Santa Terezinha (PE)";"15445";"15585";"19246";"19900";"22502";"24877";"27378";"29170";"32595";"36562";"42550";"48705";"53873"
"São Benedito do Sul (PE)";"15195";"15603";"17079";"18832";"20513";"26068";"27389";"31272";"34419";"38383";"52136";"65373";"70839"
"São Bento do Una (PE)";"77258";"87650";"104509";"141559";"121591";"159328";"174461";"210799";"230103";"272652";"285714";"341180";"384994"
"São Caitano (PE)";"46720";"53556";"58898";"62153";"71582";"82566";"94542";"101908";"114012";"132670";"158685";"181714";"198997"
"São João (PE)";"24294";"32280";"36509";"46619";"52462";"51519";"61850";"74032";"73697";"95544";"103768";"113840";"126364"
"São Joaquim do Monte (PE)";"34800";"35367";"42698";"45544";"50341";"60424";"59258";"64994";"74369";"88826";"113585";"115639";"110805"
"São José da Coroa Grande (PE)";"24250";"30451";"32067";"34149";"38757";"41758";"49577";"54360";"61890";"73033";"87516";"109382";"120117"
"São José do Belmonte (PE)";"48813";"56131";"56543";"66221";"70962";"79191";"93585";"97077";"108710";"123321";"142010";"160855";"173391"
"São José do Egito (PE)";"52302";"55537";"66416";"71825";"75911";"90681";"107418";"119100";"131039";"141741";"162210";"180805";"199740"
"São Lourenço da Mata (PE)";"154527";"185742";"230280";"238798";"252735";"262578";"286443";"310031";"368988";"438089";"523964";"611064";"711930"
"São Vicente Férrer (PE)";"28994";"45174";"36711";"42701";"47985";"57835";"66576";"63149";"73006";"74116";"94961";"100650";"117474"
"Serra Talhada (PE)";"156448";"177379";"215435";"234226";"259930";"309995";"362533";"433131";"498564";"551430";"714714";"821021";"921058"
"Serrita (PE)";"21126";"24942";"28421";"30863";"34394";"39140";"44603";"50959";"60727";"69337";"78313";"88935";"96662"
"Sertânia (PE)";"52406";"59517";"64201";"71505";"82135";"93239";"103058";"112844";"135410";"163771";"198499";"204426";"216363"
"Sirinhaém (PE)";"76514";"88745";"104919";"112069";"135896";"146921";"165833";"165485";"183328";"221455";"320404";"319425";"354001"
"Moreilândia (PE)";"16764";"17351";"19371";"22365";"23849";"27415";"30578";"32471";"37251";"43239";"50720";"53704";"57545"
"Solidão (PE)";"7226";"7982";"9951";"11478";"11719";"13404";"16275";"17101";"17963";"23006";"25243";"28119";"30223"
"Surubim (PE)";"88265";"99597";"112118";"120215";"171148";"160196";"186366";"205219";"236228";"269852";"359277";"394258";"435891"
"Tabira (PE)";"33521";"37265";"45354";"49666";"56010";"65642";"75029";"79467";"90605";"101693";"113274";"130789";"149597"
"Tacaimbó (PE)";"18897";"21003";"23937";"25151";"28033";"31593";"36214";"38773";"43419";"50042";"55850";"63992";"65672"
"Tacaratu (PE)";"22787";"25725";"27886";"31354";"34456";"40598";"46899";"52444";"62885";"71538";"87292";"99157";"107524"
"Tamandaré (PE)";"40350";"46605";"46093";"51237";"57111";"71958";"80526";"79212";"99143";"109127";"138208";"182091";"193268"
"Taquaritinga do Norte (PE)";"32889";"37551";"44700";"48694";"54147";"59214";"66451";"71165";"87202";"103842";"116785";"136531";"156369"
"Terezinha (PE)";"8434";"9718";"10477";"14029";"14828";"15908";"17267";"20387";"23276";"26534";"32153";"34672";"35720"
"Terra Nova (PE)";"12026";"14134";"14755";"15527";"20526";"25870";"25244";"32444";"35598";"73472";"44368";"50053";"55684"
"Timbaúba (PE)";"143180";"155967";"160729";"192074";"215377";"236702";"280388";"303103";"337464";"404724";"448594";"477569";"495254"
"Toritama (PE)";"36403";"43174";"52400";"61938";"78175";"92312";"108258";"122679";"137619";"149176";"223471";"293764";"387474"
"Tracunhaém (PE)";"24435";"27810";"31515";"36207";"35394";"40810";"47344";"46585";"53553";"64255";"71624";"74278";"74319"
"Trindade (PE)";"38020";"43198";"48861";"52293";"54631";"66231";"78534";"80366";"99362";"112360";"141574";"162767";"191665"
"Triunfo (PE)";"20644";"23225";"27637";"29702";"31240";"36346";"42099";"45776";"51630";"59698";"69335";"71905";"83384"
